,u,p,P,A,a,S,s
Jazz,0.115,0.259375,0.2675,0.1409375,0.13625,0.04375,0.0371875
Choro,0.05056318342514182,0.3268108196990874,0.17545013565732137,0.19509989311847406,0.15588259475458358,0.05278303050234317,0.04341034284304859
Samba,0.24466243508366994,0.30496249278707444,0.16661858049624928,0.12766878245816504,0.11295441431044431,0.01817657241777265,0.02495672244662435
Tom Jobim,0.16569163993206265,0.3094923570484997,0.27439139460275525,0.10360445367050387,0.10379316852236271,0.026986223815814305,0.01604076240800151
Ivan Lins,0.25346760402812085,0.2996389891696751,0.1704351130533916,0.10564316929507886,0.0777123313699411,0.05225156754702641,0.0408512255367661
Chico Buarque,0.24130920918885954,0.3144948160195162,0.20227688554584264,0.1142508639967473,0.0805041675137223,0.028461069323033137,0.01870298841227892
Edu Lobo,0.1996615905245347,0.2878595600676819,0.20262267343485618,0.1434010152284264,0.11146362098138748,0.030456852791878174,0.024534686971235193
Caetano Veloso,0.1766453382084095,0.3265539305301645,0.1956124314442413,0.12157221206581353,0.1480804387568556,0.018738574040219377,0.012797074954296161
Djavan,0.19408043380027112,0.2288748305467691,0.22390420244012652,0.15070040668775417,0.14234071396294623,0.029145955716222322,0.03095345684591053
João Bosco,0.2542559033498078,0.29452681676734394,0.18835804503020318,0.09408749771187992,0.11147721032399781,0.027823540179388616,0.02947098663737873
Milton Nascimento,0.3966093600764088,0.25620821394460364,0.166189111747851,0.08476599808978033,0.06446991404011461,0.023400191021967526,0.008357211079274117
Gilberto Gil,0.22439218812275807,0.3178557194101236,0.15524113192506975,0.1484655241131925,0.12973296133917894,0.015544041450777202,0.00876843363889996
Rita Lee,0.29901719901719903,0.2963144963144963,0.17665847665847667,0.0972972972972973,0.0977886977886978,0.026535626535626536,0.0063882063882063885
